operator,info,name,latitude,longitude,category
1487286,"Sandpit, Carousel, Slide, Swing",Grant Street Playground,-37.8260106301916,144.96835314420716,playgrounds
1450822,"Carousels, platforms, swing, slide, public toilet.",Docklands Park Playground,-37.8218009873152,144.94722750144075,playgrounds
1450819,"Swings, spinners, double slide, public toilet, picnic table, lots of shade.",Lincoln Square Playground,-37.80284131718294,144.9626564799592,playgrounds
1719660,"Sandpit with diggers, spiral slide, swings, sandpit, balancing bridges, public toilet, barbecue, picnic table, shade.",Flagstaff Gardens Playground,-37.8095257090171,144.95471867901864,playgrounds
1450810,"Multi-level play structure, climbers, see-saw, swings, cubby, barbecue, picnic tables, some shade.",Gardiner Reserve Playground,-37.7987885878955,144.94393836858487,playgrounds
1590516,"Bells, Musical Wall, Sand pit, Swing, Carousel and Slide",Point Park Playground,-37.82307176194582,144.94158310181788,playgrounds
1450835,"Toddler playspace - slide, swings.",Fawkner Park Toddler Playspace,-37.83903295479282,144.98047560545143,playgrounds
1603370,1 x 5 way swing,Neill Street Reserve,-37.79520740161526,144.96970314493564,playgrounds
1554261,,Warun Biik Playground,-37.79616817586979,144.9267597762389,playgrounds
1450813,"Swings, rocker, fort, slide and climbing features, public toilet, lots of shade.",Ievers Reserve Playground,-37.79652622815778,144.95277288002004,playgrounds
1450804,"Fort tower, sand pit, 4-way spring rocker, swings, tic-tac-toe, chalkboard, public toilet, picnic table, some shade, disabled access.",Powlett Reserve Playground,-37.81158137797367,144.9865706304634,playgrounds
1618816,Play court space with basketball backboard only,North Melbourne Recreation Reserve Play Court,-37.79980317243133,144.94146553497296,playgrounds
1450801,"Climber, see saws, spring rider, spring rocker, swings, chin up bars, some shade.",Fawkner Park East,-37.840668223257225,144.98402897622898,playgrounds
1450824,"Swing, spring riders, combination unit.",Robertson Street Park Playground,-37.79319152147504,144.93241661314613,playgrounds
1450823,"Swing, spring riders, combination unit.",Parsons Reserve Playground,-37.790191684378094,144.93108110732882,playgrounds
1775918,"Basketball rings, synthetic surface",North Melbourne Recreation Reserve Multi Purpose Court,-37.7988307430471,144.9403321720667,playgrounds
1450805,"Dragon slide, sandpit, giraffe swing, public toilet, lots of shade.",Fitzroy Gardens Playground,-37.811744939010325,144.9818267986077,playgrounds
1764817,,Wharfs Landing Park,-37.8220676003373,144.93654191133373,playgrounds
1450826,Swing.,Kensington Hall Reserve Playground,-37.789037850036166,144.9284357699595,playgrounds
1450831,Play panel and small stage area. Some disabled access.,Canning and Palmerston Streets Playground,-37.79630622554574,144.97280123149434,playgrounds
1450832,"Concrete skate ramp, public toilet.",Riverslide Skate Park,-37.820490837663186,144.97302701268373,playgrounds
1450809,"Spring rocker, swings, platform, slide, picnic table.",Bellair Street Reserve Playground,-37.79525908086376,144.93078140282728,playgrounds
1588995,,Buluk Park Playground,-37.820285121736624,144.94088305188848,playgrounds
1720527,"Tower platforms, sandpits, rockers, see saw, slide, 5-way swing, boardwalk, fitness track, public toilet, barbecue, picnic table, some shade.",Princes Park South Playground,-37.785385696902736,144.96275926118628,playgrounds
1588994,,NaturePlay Playground Royal Park,-37.795044731386305,144.9517539147769,playgrounds
1450833,"Spring rider, swing, carousel, combination unit.",Galada Avenue Reserve Playground,-37.779582393504235,144.93975987147903,playgrounds
1450807,"Swings, rockers, slides, play units with mirror panel, abacus, shop front, clock and steering wheel, rubber pathways, barbecue, picnic table, shade, disabled access.",Bayswater Road Park Playground,-37.79377873282799,144.92359592824823,playgrounds
1450834,Basketball court.,The Crescent Reserve Playground,-37.794654989366286,144.9191944946368,playgrounds
1450827,"Combination unit, spring rider.",Liddy Street Reserve Playground,-37.79003673843191,144.9256728627734,playgrounds
1660076,"Swings, slide, rock wall, monkey bars, carousel, see saw, sand pit, tunnels and barrels.  Temporary basketball court with backboard and ring.",Boyd Community Hub,-37.82611400247897,144.96163469344134,playgrounds
1450808,"Pirate ship play structure, rocking swing, rocking table, see saw, spinner, public toilet, barbecue, picnic table, lots of shade.",Holland Park Playground,-37.7978870186655,144.9259420093936,playgrounds
1513026,,Victoria Green Playground,-37.82015371307213,144.94476081594655,playgrounds
1450806,"Chin up bar, parallel bars, balance beam, some shade.",Fawkner Park North East,-37.838793729508225,144.9850522156393,playgrounds
1450816,"Swing, spring riders, see saw.",Princes Park North Playground,-37.781221527129574,144.96214347994342,playgrounds
1450817,"Swing, see saw, small tower, shade structure, stockyard style fencing.",Mercantile Parade and Tankard Street Playground,-37.796615304958806,144.92060508965284,playgrounds
1450825,"Combination units, swing, barbeque, some shade.",North Melbourne Community Centre Playground,-37.79356615908827,144.94008253076515,playgrounds
1450820,"Rock and rope climbing features, swinging hammocks, liberty swing for wheelchairs, quiet areas and active play areas, public toilet, picnic table, some shade, disabled access.",Birrarung Marr Artplay,-37.818149015388066,144.9712309067726,playgrounds
1450818,"Slide, sheep sculptures.",Mercantile Parade and Newman Street Playground,-37.79542804645323,144.92088329716032,playgrounds
1450828,"Skate park, BMX track, public toilet.",Holland Park Extreme Sports Precinct,-37.79831312148108,144.9212247231253,playgrounds
1450821,"Cubby with slide, swings, track glide, sandpit, climbing frame, some shade, disabled access, public toilet.",Carlton Gardens Playground,-37.8020962906074,144.97067458905988,playgrounds
1631085,,Ron Barassi Senior Park Playground,-37.816522726624655,144.93375500298453,playgrounds
1557352,Climbers x 3,Station Street Park Playground,-37.797285033377186,144.9739866829798,playgrounds
1450811,"Slides, carousel, excavator, sandplit and swings.",Hawke & Adderley Streets Playground,-37.808765867846496,144.94479636670366,playgrounds
1450812,"Fitness track, slide, rockers, climbing features, lots of shade, some disabled access.",Eades Park Playground,-37.80718322149278,144.95159199209743,playgrounds
1450814,"Wooden tower, slide, swing, rockers, stepping posts, grassed areas.",Manningham Street Playground,-37.78509788859067,144.94203123068968,playgrounds
