name,address,type,website,latitude,longitude,category
Alumbra,"Shed 9, Victoria Harbour, Docklands, 3008",Nightclub,http://www.alumbra.com.au/,-37.81656881500009,144.94383499834845,music_venues
Sofitel Melbourne On Collins,"Sofitel Hotel, Collins Tower, 25 Collins Street, Melbourne, 3000",Accommodation,http://www.sofitel-melbourne.com.au/,-37.81376526700552,144.9729234875978,music_venues
Bar Nacional,"Tenancy 47, Ground, 727 Collins Street, Docklands, 3008",Bar,http://www.barnacional.com.au/,-37.82046725912159,144.94982290293075,music_venues
Bomba Tapas Bar and Rooftop,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000",Bar,https://bombabar.com.au/,-37.81038063462455,144.9692357633733,music_venues
Melbourne Museum,"11 Nicholson Street, Carlton, 3053",Museum,https://museumsvictoria.com.au/melbournemuseum/,-37.80372847051283,144.97373148063383,music_venues
"Club 23, Crown Melbourne","Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006",Nightclub,http://www.level3atcrown.com.au/,-37.82243272720292,144.9601748810828,music_venues
Aria Bar & Lounge,"Podium, 1 Southgate Avenue, Southbank, 3006",Bar,http://www.sebeldocklands.com.au/en/meeting-rooms/aria-bar-and-events.html,-37.82047861515797,144.96589092458512,music_venues
Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",Venue,http://pariscat.com.au/,-37.813558526665716,144.96075407581748,music_venues
Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",Nightclub,http://www.cliquebar.com.au/,-37.81961099011078,144.95739295718033,music_venues
Man Tong Kitchen,"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006",Bar,http://www.mantongkitchen.com.au/,-37.82237743370056,144.96013664101957,music_venues
Randy Dragon,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000",Bar,http://www.randydragon.com.au/,-37.817456737067324,144.96378913395765,music_venues
QV Melbourne,"278-300 Swanston Street, Melbourne, 3000",Bar,http://www.qv.com.au,-37.81103540168751,144.96467176356475,music_venues
The Elephant and Wheelbarrow,"94-96 Bourke Street, Melbourne, 3000",Hotel,https://bourkest.elephantandwheelbarrow.com.au/,-37.812003038513254,144.97032587079298,music_venues
RACV City Club,"501 Bourke Street, Melbourne, 3000",Hotel,https://www.racv.com.au/travel-leisure/racv-club/city-club.html,-37.81557207833605,144.9591017007643,music_venues
Roxanne Bar,"Level 2-3, 2 Coverlid Place, Melbourne, 3000",Venue,https://www.facebook.com/roxannebarmelbourne/,-37.812290077617654,144.96856088051632,music_venues
The Palms At Crown,"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006",Bar,https://www.crownmelbourne.com.au/events-conferences/function-venues/the-palms-at-crown,-37.82237605653925,144.96005715393778,music_venues
Lion Hotel at Melbourne Central,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000",Bar,http://www.acemelbourne.com.au/mclion/,-37.81049466323917,144.96260892303593,music_venues
The Drunken Poet,"Ground, 65 Peel Street, West Melbourne, 3003",Bar,http://www.thedrunkenpoet.com.au/,-37.80669546524965,144.95560816104967,music_venues
Urban Central Backpackers,"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006",Venue,http://urbancentral.com.au/,-37.82795247595504,144.95758234751773,music_venues
Workshop,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000",Bar,http://www.workshopbar.com.au/,-37.80915406493112,144.9606400792035,music_venues
Carlton Yacht Club,"298 Lygon Street, Carlton, 3053",,,-37.799970643253964,144.96723895405708,music_venues
Melbourne Town Hall,"90-130 Swanston Street, Melbourne, 3000",Performance space,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/Pages/melbourne-town-hall-rooms-for-hire.aspx,-37.814912543799636,144.9664536170434,music_venues
Crown Casino,"8 Whiteman Street, Southbank, 3006",Casino,http://www.level3atcrown.com.au/,-37.822486643580916,144.96013363399763,music_venues
The Forum Theatre,"150-162 Flinders Street, Melbourne, 3000",Venue,https://forummelbourne.com.au/,-37.81672152422505,144.9694950938554,music_venues
The Bottom End,"577-583 Little Collins Street, Melbourne, 3000",,,-37.81764606140045,144.95554920127617,music_venues
Eau de Vie,"Rear, 88 Flinders Street, Melbourne, 3000",Bar,,-37.81602795476901,144.97181318906033,music_venues
Duke Of Kent Hotel,"293-299 La Trobe Street, Melbourne, 3000",Venue,,-37.81071423194513,144.96049941842946,music_venues
Polepole Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000",Bar,http://www.polepolebar.com.au/,-37.81471253447779,144.96556243961416,music_venues
GoGo Bar,"Basement, 125 Flinders Lane, Melbourne, 3000",Bar,https://www.chinchinrestaurant.com.au/melbourne/gogo-bar/,-37.81553872471665,144.97036036207516,music_venues
New Guernica,"Level 2, 318-322 Little Collins Street, Melbourne, 3000",Nightclub,http://www.newguernica.com.au/,-37.81503810840179,144.96410864029963,music_venues
Capitano,"421 Rathdowne Street, Carlton, 3053",Hotel,https://www.thebeaufort.com.au/,-37.79645167488737,144.97050823745553,music_venues
The Woolshed,"Shed 9, Victoria Harbour, Docklands, 3008",Hotel,https://www.woolshed.melbourne/,-37.816571590803626,144.9439939584494,music_venues
Horse Bazaar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000",Bar,http://www.horsebazaar.com.au/,-37.81181776178239,144.96018541434393,music_venues
Witches In Britches,"78-86 Dudley Street, West Melbourne, 3003",Amusement/Theme Venue,http://www.witchesinbritches.com.au/,-37.80900975220489,144.9526861520936,music_venues
CQ Melbourne,"Ground, 113 Queen Street, Melbourne, 3000",Nightclub,http://www.cqmelbourne.com.au/our-venues/cq-nightclub-home,-37.815890178211724,144.9609036675483,music_venues
Colour Nightclub,"229 Queensbury St, Carlton,",Nightclub,https://www.facebook.com/colournight.club/,-37.80447486558001,144.9611358873818,music_venues
Trapt Bar and Escape Rooms,"Unit 1, 377 Lonsdale Street, Melbourne, 3000",,,-37.81267565867737,144.96140750009823,music_venues
The Red Hummingbird,"Level 1, 246 Russell Street, Melbourne, 3000",Bar,https://www.redhummingbird.com.au/,-37.81048858505954,144.96722384705905,music_venues
Good Heavens,"Level 2, 79 Bourke Street, Melbourne, 3000",Bar,http://www.goodheavens.com.au/,-37.81207864874162,144.97105279643523,music_venues
Berlin Bar,"Level 1, 16-20 Corrs Lane, Melbourne, 3000",Bar,http://www.berlinbar.com.au/,-37.811157037789194,144.96837654729146,music_venues
AAMI Park,"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004",Performance space,https://www.aamipark.com.au/,-37.823968769882505,144.98255462534763,music_venues
Robot Bar,"12 Bligh Place, Melbourne, 3000",Bar,http://www.robotsushi.com/,-37.81710896940462,144.9637044827892,music_venues
Australian Centre for the Moving Image (ACMI),"Tenancy 6, Alfred Deakin Building, Federation Square, 2 Swanston Street, Melbourne, 3000",Multi-use,https://www.acmi.net.au/,-37.81834623092842,144.96908666163947,music_venues
The Lui Bar,"Level 55S, 525 Collins Street, Melbourne, 3000",,,-37.818353178519466,144.95714325498983,music_venues
Belgian Beer Cafe Melbourne,"5 Riverside Quay, Southbank, 3006",Bar,https://www.belgianbeercafemelbourne.com.au/,-37.82144024332026,144.96446071868732,music_venues
The Mill House Bar,"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000",Bar,http://themillhouse.com.au/,-37.81703740632109,144.96524327382468,music_venues
Harley House,"71 Collins Street, Melbourne, 3000",Bar,https://harleyhouse.com.au/,-37.81424168617854,144.97130100975428,music_venues
Union House Theatre University of Melbourne,"Union House Building 130, 230 Grattan Street, Parkville, 3010",Public University/College,https://umsu.unimelb.edu.au/,-37.799912958805734,144.96063239627077,music_venues
Max Watt's,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000",Venue,http://www.maxwatts.com.au/melbourne/,-37.81474151304183,144.96600928994255,music_venues
Coopers Inn,"Shop 1, 242 Exhibition Street, Melbourne, 3000",Hotel,http://www.coopersinn.com.au/,-37.809916568560254,144.96975861429243,music_venues
Arts Centre Melbourne,"100 St Kilda Road, Southbank, 3006",Performance space,https://www.artscentremelbourne.com.au/,-37.821552859925035,144.96888500926758,music_venues
Dan O'Connell Hotel,"223-227 Canning Street, Carlton, 3053",Hotel,http://www.thedan.com.au/,-37.7930358326425,144.9735256623954,music_venues
Insignia On Flinders,"502-504 Flinders Street, Melbourne, 3000",Bar,https://www.zomato.com/melbourne/insignia-flinders-street-cbd-melbourne,-37.82013879156501,144.95772242087293,music_venues
Immigration Museum,"400-424 Flinders Street, Melbourne, 3000",Museum,https://museumsvictoria.com.au/immigrationmuseum/,-37.81931971370013,144.96049295002675,music_venues
Hardimans Hotel,"521 Macaulay Road, Kensington, 3031",Hotel,http://www.hardimans.com.au/,-37.79436125976925,144.92860315925475,music_venues
Park Hyatt Melbourne,"20 Parliament Place, East Melbourne, 3002",Accommodation,https://melbourne.park.hyatt.com/en/hotel/home.html,-37.811280207254434,144.97559084778078,music_venues
New Market Studios,"87-91 Arden Street, North Melbourne, 3051",,,-37.80085694095499,144.94761918548477,music_venues
The Butterfly Club,"Level 1-3, 256 Collins Street, Melbourne, 3000",,,-37.81569096024321,144.96536899928205,music_venues
Colonial Hotel/Brown Alley Night Club,"240 King Street, Melbourne, 3000",Hotel,https://www.thecolonialhotel.com.au/,-37.81460565414994,144.95509368927424,music_venues
RMIT University,"100-186 La Trobe Street, Melbourne, 3000",Gallery,https://www.rmit.edu.au/events/contact/venue-enquiries,-37.809097098049996,144.96503629766326,music_venues
Bird's Basement,"11 Singers Lane, Melbourne, 3000",Venue,https://birdsbasement.com/,-37.8112098332617,144.95679721844013,music_venues
The Royal Melbourne Hotel,"621-633 Bourke Street, Melbourne, 3000",,,-37.816698511726194,144.95514280793918,music_venues
The Curtin,"John Curtin Hotel, 27-31 Lygon Street, Carlton, 3053",Venue,http://www.johncurtinhotel.com/,-37.806212169256085,144.9658160624824,music_venues
Club Retro,"383 Lonsdale Street, Melbourne, 3000",Nightclub,http://www.clubretro.com.au/,-37.812729378942684,144.96122123033936,music_venues
Riverland Bar,"Vault, 1-9 Princes Walk, Melbourne, 3000",Bar,http://www.riverlandbar.com/,-37.818689511539546,144.96869720953168,music_venues
Disco Bar,"Level 1-4, 167-175 Franklin Street, Melbourne, 3000",Bar,https://www.tripadvisor.com.au/LocationPhotoDirectLink-g255100-d286290-i126403786-Discovery_Melbourne-Melbourne_Victoria.html,-37.80871596791028,144.95902457942904,music_venues
Margaret Court Arena,"Margaret Court Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",Performance space,https://www.margaretcourtarena.com.au/,-37.8225900077663,144.9779329217489,music_venues
Ms Collins,"Gnd & Mezzanine, 425 Collins Street, Melbourne, 3000",Nightclub,http://www.mscollins.com.au/,-37.8173778889626,144.96055381695814,music_venues
Sidney Myer Music Bowl,"Alexandra Avenue, Melbourne, 3004",,,-37.82300093980653,144.97482025339892,music_venues
All Nations Backpackers Bar/Ubar,"8 Spencer Street, Melbourne, 3000",,,-37.820719517066344,144.95509884823858,music_venues
Spaghetti Tree Restaurant,"Ground, 59-63 Bourke Street, Melbourne, 3000",Bar,http://www.spaghettitree.com.au/,-37.8119532178998,144.97148245909204,music_venues
The Wharf Hotel,"Shop 17, Ground, 18-38 Siddeley Street, Docklands, 3008",Hotel,https://www.wharfhotel.com.au/,-37.82227454064513,144.9535974644043,music_venues
Off The Hip Records,"Basement, 387 Flinders Lane, Melbourne, 3000",Multi-use,https://whatson.melbourne.vic.gov.au/Shopping/BooksMusicandStationery/Music/Pages/1418.aspx,-37.818170221925946,144.9612683910999,music_venues
Speakeasy HQ,"Level 1, 520-522 Flinders Street, Melbourne, 3000",Theatre,http://speakeasy-hq.com/,-37.820357932687585,144.95696625309793,music_venues
170 Russell/Billboard Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000",Nightclub,http://billboardsaturdays.com.au/,-37.812052247519325,144.96793672846434,music_venues
Melbourne Public,"15 Dukes Walk, South Wharf, 3006",,,-37.82438903938934,144.95063258929684,music_venues
The Irish Times Pub,"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000",Bar,http://theirishtimespub.com.au/,-37.81619295477831,144.960463460251,music_venues
El Coco,"Ground, 120 King Street, Melbourne, 3000",Nightclub,http://elcoco.com.au/,-37.81726434461992,144.95638356625756,music_venues
Vamos,"Level 1, 37-41 Little Bourke Street, Melbourne, 3000",Bar,http://www.vamos.net.au/,-37.810747836953425,144.97146559576274,music_venues
Kathleen Syme Library and Community Centre,"251 Faraday Street, Carlton, 3053",Multi-use,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/kathleen-syme-library-and-community-centre/Pages/kathleen-syme-library.aspx,-37.79861750965004,144.9654893886899,music_venues
Assembly Hall,"156 Collins Street, Melbourne, 3000",Performance space,http://www.hallsforhire.com.au/halls/the-assembly-hall,-37.8148247935781,144.96831819904696,music_venues
Melbourne Showgrounds,"300 Epsom Road, Flemington, 3032",Amusement/Theme Venue,https://www.melbourneshowgrounds.com/,-37.78040735195738,144.91437999700486,music_venues
Ferdydurke,"Level 1-2, 239 Lonsdale Street, Melbourne, 3000",Bar,http://www.ferdydurke.com.au/,-37.811527225540964,144.96535317015017,music_venues
Festival Hall,"300 Dudley Street, West Melbourne, 3003",Performance space,http://www.festivalhall.com.au/,-37.811437769852866,144.9461726133059,music_venues
Charlie's Bar,"Basement, 67 Hardware Lane, Melbourne, 3000",,,-37.81325334536212,144.9610159338816,music_venues
Troika Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000",Bar,http://troikabar.com/,-37.809251212232525,144.96862686025293,music_venues
Live Performance Australia,"Level 1, 15 Queen Street, Melbourne, 3000",Multi-use,http://www.liveperformance.com.au/,-37.818408350668456,144.96207799460493,music_venues
Queen Victoria Market,"65-159 Victoria Street, Melbourne, 3000",Performance space,http://qvm.com.au/,-37.806188527484565,144.9575348670326,music_venues
Platform One,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",Nightclub,http://www.platformone.com.au/,-37.81914827560788,144.96232307486835,music_venues
Mesa Verde,"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000",Bar,http://www.mesaverde.net.au/,-37.81204087370973,144.96505253454222,music_venues
Bass Lounge,"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000",,,-37.8121190907495,144.9699347659403,music_venues
The Black Rabbit,"Basement, 85 Queen Street, Melbourne, 3000",Nightclub,https://www.blackrabbit.melbourne/,-37.816506994449085,144.96120225838388,music_venues
Regent Theatre,"191-197 Collins Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/regent-theatre,-37.81534585273267,144.9675380003948,music_venues
Therapy Nightclub  at Crown,"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006",Nightclub,http://www.level3atcrown.com.au/,-37.82381122217111,144.95741449297574,music_venues
The Last Chance Rock & Roll Bar,"238 Victoria Street, Melbourne, 3000",Venue,https://www.facebook.com/thelastchancerockandrollbar/,-37.80601960940114,144.95855233201263,music_venues
The Australian Club,"110 William Street, Melbourne, 3000",Venue,https://theaustralianclub.com.au/,-37.816671478507224,144.95884607575877,music_venues
Angel Music Bar,"12 Bourke Street, Melbourne, 3000",Bar,,-37.8113496150961,144.97256750232202,music_venues
The Athenaeum,"Level 1, 188 Collins Street, Melbourne, 3000",,,-37.81509905764948,144.96746914835032,music_venues
San Marco Social Club,"149 Canning Street, Carlton, 3053",Community hall,https://www.instagram.com/explore/locations/410139584/san-marco-in-lamis-social-club-melbourne/,-37.795035125757934,144.97317627114788,music_venues
The Comedy Theatre,"240 Exhibition Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/comedy-theatre,-37.81021736084806,144.96989592744947,music_venues
Turf Bar,"Unit 1, LwrGround, 131 Queen Street, Melbourne, 3000",Bar,http://turfbar.com.au/,-37.815538920511045,144.96075342315893,music_venues
Campari House,"21-25 Hardware Lane, Melbourne, 3000",Bar,https://www.camparihouse.com.au/,-37.81406901492111,144.96139208309128,music_venues
University of Melbourne,"230 Grattan Street, Parkville, 3010",Performance space,https://umsu.unimelb.edu.au/,-37.799910206479105,144.9604734702218,music_venues
Chaise Lounge,"Basement, 105 Queen Street, Melbourne, 3000",Nightclub,http://www.chaiselounge.com.au/,-37.81607553369085,144.96100472386703,music_venues
Lustre Bar,"4A Centre Place, Melbourne, 3000",Bar,http://www.lustrebar.com.au/,-37.81675634145909,144.96562102792308,music_venues
Max Bar and Restaurant,"Ground, 54 Hardware Lane, Melbourne, 3000",Bar,http://maxonhardware.com.au/,-37.813473669206125,144.96119469998956,music_venues
Blue Diamond,"Level 15, 123 Queen Street, Melbourne, 3000",,,-37.8156945346344,144.960819979804,music_venues
Pan Pacific Melbourne,"Pan Pacific Melbourne, 2 Convention Centre Place, South Wharf, 3006",Accommodation,https://www.panpacific.com/en/hotels-resorts/australia/melbourne.html,-37.82511036230947,144.9509891753036,music_venues
Mercury Lounge,"8 Whiteman Street, Southbank, 3006",Nightclub,http://www.citybars.com.au/Melbourne_bars/Mercury_Lounge/Bar/25607,-37.82242997287491,144.96001590680228,music_venues
Velvet Bar,"Casino, 8 Whiteman Street, Southbank, 3006",Bar,https://www.crownmelbourne.com.au/bars-nightclubs/bars/velvet-bar,-37.82371881012607,144.95746455234837,music_venues
City Library,"Pt Gnd ,Pt Mezz & Lvl 1, 253-265 Flinders Lane, Melbourne, 3000",Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,-37.816868507007,144.96581223646334,music_venues
Euro House,"Ground, 16-20 Corrs Lane, Melbourne, 3000",Nightclub,http://www.eurohouse.com.au/,-37.81115429522088,144.96821759637908,music_venues
Spleen Central,"41 Bourke Street, Melbourne, 3000",Bar,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllBars/Pages/1804.aspx,-37.81180924479099,144.9719804643413,music_venues
