tree_common_name,tree_scientific_name,date_of_tree_planted,latitude,longitude,title,category
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.829281417041294,144.97392578211125,6th field ambulance,plaques
Manchurian Pear,Pyrus ussuriensis,2011-09-06,-37.82846660030073,144.9728488289509,4th division signal company,plaques
Golden Poplar,Populus x canadensis,1998-02-09,-37.83249707841591,144.97462749069217,hmas castlemaine,plaques
Cork Oak,Quercus suber,2012-07-03,-37.831485084303864,144.9745032547264,carry on (victoria),plaques
White Cedar,Melia azedarach,2010-10-20,-37.82787550189755,144.97279547334418,ceylon,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83038381306261,144.97242800017446,1st aust field hospital,plaques
tba,Cupressus sempervirens Stricta,2000-01-02,-37.83114377811199,144.97450668080737,royal australian navy,plaques
Turkey Oak,Quercus cerris,1998-04-09,-37.83100907053461,144.97582291081636,1939 - 1945 fairmile ships of the royal australian navy,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.828892667569995,144.97378541866044,mediterranean r.a.a.f.,plaques
English Elm,Ulmus procera,1998-07-09,-37.82900343069038,144.97237262203444,2/43 battalion,plaques
Daimyo Oak,Quercus dentata,1998-04-09,-37.83102768154598,144.9745995026191,royal australian navy 1939 - 1945,plaques
Holm Oak,Quercus ilex,2010-08-30,-37.83122080077399,144.97203945402583,australian sappers,plaques
Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.831693778320194,144.97527233354396,h.m.a.s. warrnambool,plaques
English Elm,Ulmus procera,1998-07-09,-37.82736432265406,144.97224934141337,3rd division artillery.,plaques
,,,-37.827281644329084,144.97364974976497,peace tree,plaques
London Plane,Platanus acerifolia,1998-07-09,-37.832166711860516,144.97354893179607,no.4 squadron australian flying corps,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82730813685313,144.9720742083139,13th light horse regiments.,plaques
tba,Olea europaea,1998-04-09,-37.83059672278496,144.97461424222743,australians and greeks,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82851588843667,144.97262342768624,46th battalion,plaques
Cork Oak,Quercus suber,2010-09-10,-37.83199254948672,144.974755478909,'n' class destroyers of the 7th destroyers flotilla,plaques
Argyle Apple,Eucalyptus cinerea,1998-07-09,-37.83152728947547,144.97242135116656,2/14th australian field regiment,plaques
Oak,Quercus coccifera,1998-04-09,-37.831271763213856,144.9742877550359,australian submarine ae2,plaques
Spotted Gum,Corymbia maculata,2012-09-06,-37.82830993024372,144.97322827839452,57th battalion,plaques
Chinese Elm,Ulmus parvifolia,2011-10-06,-37.832421781569224,144.97331027544303,headquaters 3rd division,plaques
Spotted Gum,Corymbia maculata,2000-01-02,-37.8281794371218,144.97191458201368,2/6 australian infantry battalion,plaques
Spotted Gum,Corymbia maculata,2000-01-01,-37.82842086207845,144.97306583876082,23rd battalion,plaques
Moreton Bay Fig,Ficus macrophylla,2014-10-28,-37.83013109907542,144.97431122735125,india r.a.a.f.,plaques
Chinese Liquidambar,Liquidambar formosana,2014-10-02,-37.832516217526646,144.97383865113932,78 squadron raaf,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.832117118242046,144.9746836717465,merchant navy,plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.83135612849709,144.97433578166624,h.m.a.s vampire,plaques
Grey Poplar,Populus x canescens,1998-08-09,-37.832660644979015,144.97371119131355,hmas mildura,plaques
Lilly Pilly,Syzygium smithii,2000-01-02,-37.83103751930554,144.9746999015222,the royal australian naval nursing service (r.a.n.n.s.),plaques
Pin Oak,Quercus palustris,1998-04-09,-37.831340335754305,144.9741773712386,h.m.a. motor launches 430 and 827,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.83001565222123,144.97182453583466,7th australian division army service corps,plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82930957162753,144.97361381216012,3rd light horse field ambulance,plaques
English Elm,Ulmus procera,1998-07-09,-37.828665254692076,144.97293462651294,imperial russian forces,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82736809887927,144.97188260236823,3rd cavalry regiment,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8285669377496,144.97243229020964,2nd/3rd australian pioneer battaltion,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82984433810733,144.97234244329104,6th division cavalry regiment,plaques
Spotted Gum,Corymbia maculata,2000-01-02,-37.82849170342644,144.97192557389698,australian women's army service,plaques
English Oak,Quercus robur,1998-07-09,-37.82901454029214,144.97329523335668,united kingdom,plaques
Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.83078252475611,144.97428307083808,raaf 49,plaques
,,,-37.82778811617614,144.9738493781532,mayoress (mrs w.j.brens),plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,2/21 australian infantry battalion,plaques
Chestnut Oak,Quercus michauxii,1998-04-09,-37.831739379034055,144.9747275202476,h.m.a.s. canberra,plaques
London Plane,Platanus acerifolia,1998-08-09,-37.83238330821724,144.97389182693794,2/4 aust. field regiment royal aust. artillery 7 australian division,plaques
,,,-37.8281083856233,144.97242507338888,21st battalion,plaques
tba,Cupressus sempervirens Stricta,2000-01-02,-37.83114377811199,144.97450668080737,royal australian navy,plaques
Flame Tree,Brachychiton acerifolius,2010-08-30,-37.82901228282192,144.97373999429766,2/2 field company r.a.e. 6th division engineers,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830548467575355,144.9717955153379,2/3rd australian light anti-aircraft regiment,plaques
Desert Ash,Fraxinus angustifolia,1998-07-09,-37.82909527107172,144.97188666465084,9th australian division cavalry regiment 2/9th australian cavalry commando regiment,plaques
Dawn Redwood,Metasequoia glyptostroboides,1998-07-09,-37.83181247496687,144.97331945057172,10 squadron raaf strike first,plaques
Pohutukawa,Metrosideros excelsa,1998-04-09,-37.831227642688,144.97421658524627,royal new zealand navy,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8307037938507,144.97204974755397,the corps of the royal australian electrical and mechanical engineers,plaques
Spotted Gum,Corymbia maculata,1998-02-09,-37.82992782441288,144.97399876742824,r.a.a.f. - united kingdom,plaques
English Oak,Quercus robur,2011-10-06,-37.83248119982511,144.9734481783028,r.a.a.f. w.a.a.a.f. training squadrons and support units,plaques
Mahogany Gum,Eucalyptus botryoides,1998-04-09,-37.83135971351849,144.9748060753539,h.m.a.s. hobart,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.83160994325141,144.9750140912037,h.m.a.s. sydney,plaques
Flowering Gum,Corymbia ficifolia,2000-01-02,-37.831478132819775,144.97480635943555,h.m.a.s. australia,plaques
Bogong Gum,Eucalyptus chapmaniana,1998-03-09,-37.83143042424667,144.97531771009426,h.m.a.s ballarat,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83057641458183,144.97262803872255,australian army water transport,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.83196110933539,144.9752276432538,h.m.a.s. geelong,plaques
English Elm,Ulmus procera,1998-07-09,-37.82891758654078,144.97314416193322,8th battalion,plaques
English Elm,Ulmus procera,1998-07-09,-37.82842561268578,144.97220608515528,2/1 australian machine gun battalion,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.827167013867054,144.97201672000386,"imperial camel corps, 5th light horse brigade.",plaques
London Plane,Platanus acerifolia,1998-07-09,-37.83140749181213,144.97302659620308,air training corps,plaques
,,,-37.83092666297623,144.972552551185,the veterans' federation of the republic of vietnam in australia,plaques
,,,-37.82868707541504,144.97319182644748,women who served,plaques
Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.831342688697845,144.972214956105,royal australian army service corps,plaques
Flame Tree,Brachychiton acerifolius,2010-08-30,-37.82901228282192,144.97373999429766,2nd field company engineers,plaques
Sydney Blue Gum,Eucalyptus saligna,2010-10-20,-37.828801298969346,144.97214773973676,2/9th australian field ambulance unit,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82877414747356,144.97252296533725,3rd division signals a.i.f.,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830310550572754,144.9726217956095,korea and south east asia forces association of australia (vic. branch),plaques
Queensland Kauri,Agathis robusta,1998-07-09,-37.82801653068633,144.9719108621663,2/2 army field workshops,plaques
Tasmainian Blue Gum,Eucalyptus globulus,1998-07-09,-37.83058378299159,144.97225005063945,commando squadrons,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83092492480735,144.97278654336202,2/3rd australian machine gun battalion,plaques
Prickly Paperbark,Melaleuca styphelioides,1998-07-09,-37.830982607450245,144.9720334779853,u.s.s. houston,plaques
,,,-37.83018230090757,144.97273097223118,the new guinea women's association melbourne,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82884194541483,144.973409255909,infantry 60th battalion,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830981520446784,144.97410594725181,"world war ii ""bathurst class corvette""",plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.828718457145655,144.97271672989964,2nd machine gun battalion,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82836356609248,144.972334239037,26 aust. inf. bn. (aif),plaques
English Oak,Quercus robur,1998-04-09,-37.830700085530246,144.97457221661702,no. 5 air field construction squadron,plaques
River Sheoak,Casuarina cunninghamiana,2011-10-06,-37.83257499684884,144.97324836199937,fighter squadrons,plaques
Red Cedar,Juniperus virginiana,2011-10-06,-37.832349033462144,144.97319375781473,no. 3 airfield construction squadron,plaques
Algerian Oak,Quercus canariensis,1998-04-09,-37.83151983814528,144.97464285395762,royal canadian navy,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83141323463639,144.9723395986132,australian ships of the far east strategic reserve,plaques
Snow-in-Summer,Melaleuca linariifolia,1998-07-09,-37.82942379805941,144.97231850732152,signal 8th division and 6 line section,plaques
Long-leaved Indian Pine,Pinus roxburghii,2000-01-02,-37.83086972020156,144.97472607803533,united states marine corps,plaques
Lilly Pilly,Syzygium smithii,2000-01-02,-37.83098397331299,144.9747565854144,czechoslovak army and air force,plaques
Bhutan Cypress,Cupressus torulosa,1998-02-09,-37.83177579247031,144.9742669241611,royal australian navy personnel who served in the corvettes on operation ww2,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.83211188501216,144.9730652646708,the royal australian air force,plaques
Brush Box,Lophostemon confertus,2000-01-02,-37.8283026024875,144.9729492096157,5th battalion,plaques
English Elm,Ulmus procera,1998-07-09,-37.82766730640713,144.9724015856788,13th field artillery brigade,plaques
English Oak,Quercus robur,2000-01-01,-37.83157098815953,144.97229005821663,british expeditionary force,plaques
English Oak,Quercus robur,2010-08-30,-37.83253227289905,144.97335781392678,a.h.s. centaur,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830381810546434,144.9721913852598,commando squadrons,plaques
Snow-in-Summer,Melaleuca linariifolia,1998-07-09,-37.82866931446685,144.97187787708356,24th australian infantry battalion,plaques
English Elm,Ulmus procera,1998-07-09,-37.82779704493902,144.9719341414076,2/4th australian armoured regimental group,plaques
English Elm,Ulmus procera,1998-07-09,-37.82963326901276,144.97213234649556,headquarters 1st australian corps,plaques
Carob or St Johns Bread,Ceratonia siliqua,2010-10-20,-37.82809570801014,144.9730233822153,malta,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830144948594985,144.97410531120755,odd bods u.k. association r.a.a.f.,plaques
Manchurian Pear,Pyrus ussuriensis,2011-10-06,-37.831951823364754,144.97300169941633,1st infantry battalions,plaques
Indian Bean Tree,Catalpa bignonoides,1998-04-09,-37.83145953074976,144.97428034678956,allied chinese ships 'ping wo' 'po yang' 'whangpu' 'yunnan',plaques
Midland Hawthorn,Crataegus laevigata,1998-02-09,-37.83229818732497,144.97456452921202,h.m.a.s. patricia cam,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,2/21 battalion,plaques
Scarlet Oak,Quercus coccinea,2010-08-30,-37.82826293987767,144.97195433369384,2/10th field coy rae,plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.83119464882748,144.97435212852844,h.m.a. submarine,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82925813900428,144.97218636013093,mercantile marine,plaques
tba,Quercus petraea,1998-04-09,-37.831422778159975,144.97498841735108,royal marines,plaques
Bhutan Cypress,Cupressus torulosa,1998-03-09,-37.83157187691977,144.9754573470279,royal australian navy medical services,plaques
,,,-37.82959876771948,144.97396516159287,anzac battlefield,plaques
,,,-37.82925090229858,144.97180809700131,prisoners of war all the theatres,plaques
Brazilian Pepper Tree,Schinus terebinthifolius,2000-01-02,-37.82940300442586,144.97404732247998,22nd squadron,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.82988367239808,144.97374774119078,shrine guard,plaques
English Elm,Ulmus procera,1998-07-09,-37.82891758654078,144.97314416193322,8th aif battalion 'city of ballarat regiment',plaques
tba,Cupressus sempervirens Stricta,2000-01-02,-37.83127737809137,144.97442553742977,h.m.a.s. voyager,plaques
English Elm,Ulmus procera,1998-07-09,-37.82763738438965,144.9718572779033,2/5th australian infantry battalion 2nd a.i.f.,plaques
Pin Oak,Quercus palustris,1998-07-09,-37.82909399096776,144.97208439444657,2/2 australian field regiment,plaques
Monkey Puzzle Tree,Araucaria araucana,2012-07-03,-37.8315861575777,144.97452196491938,australian naval & military expedition force,plaques
Queensland Kauri,Agathis robusta,1998-07-09,-37.827848669210404,144.97184444847898,2/7th australian infantry battalion aif,plaques
English Elm,Ulmus procera,1998-07-09,-37.83262443026546,144.97294238558305,"no 2 squadron, royal australian air force",plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83114558134214,144.97301967541586,australian and commonwealth service personnel,plaques
English Oak,Quercus robur,1998-04-09,-37.830700085530246,144.97457221661702,none,plaques
Flame Tree,Brachychiton acerifolius,2011-09-06,-37.830984409455574,144.97505437314175,gurkha soldiers,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82890224818144,144.97300176460385,3rd division train army service corps,plaques
Algerian Oak,Quercus canariensis,1998-04-09,-37.83136778456941,144.97456804546223,the royal navy and other companions in arms,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.831323727881426,144.9756270632182,h.m.a.s. arunta,plaques
tba,Populus x Loch Valley,2000-01-02,-37.83220416522405,144.97485092961963,hmas waterhen,plaques
Pin Oak,Quercus palustris,1998-07-09,-37.83101923912228,144.97232902477566,royal australian air force vietnam,plaques
Golden Poplar,Populus x canadensis Aurea,2010-10-21,-37.83102610678251,144.9742408452016,h.m.a.s. kuttabul,plaques
UNKNOWN,UNKNOWN UNKNOWN,2015-04-24,-37.832166914661386,144.9745661878156,hmas bataan,plaques
Moreton Bay Fig,Ficus macrophylla,1998-07-09,-37.82760125275574,144.97254825343148,7th battalion.,plaques
English Elm,Ulmus procera,1998-07-09,-37.82704988109227,144.97212252083713,headquarters 4th brigade,plaques
Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.829141569078274,144.97224636047963,2/12 field artillery regiment,plaques
,,,-37.830291746410595,144.9742988801904,legacy garden of appreciation,plaques
,,,-37.83028476987695,144.97211382679464,airborne forces,plaques
Smooth-barked Apple Myrtle,Angophora costata,1998-02-09,-37.82988838867988,144.974126531272,r.a.a.f. malaya,plaques
English Elm,Ulmus procera,1998-07-09,-37.828890611123,144.97175047419984,2/7th australian field regiment,plaques
Monterey Cypress,Hesperocyparis macrocarpa,2000-01-02,-37.827959221713186,144.97177518329275,australia indigenous service men and women,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82748940139395,144.97216013781946,australian light horse engineers.,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83120921983537,144.97329800931013,women's royal australian army corps,plaques
Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,-37.830062567393824,144.9742092537742,royal air force,plaques
Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.83119128881961,144.97522551096523,hmas quiberon,plaques
Queensland Lacebark,Brachychiton discolor,2010-08-30,-37.82827169114593,144.9730224292286,31st battalion,plaques
English Elm,Ulmus procera,2000-01-02,-37.83101428486166,144.97447034142832,naval association of australia,plaques
Outeniqua Yellowood,Afrocarpus falcatus,2010-10-20,-37.82804791550389,144.97294311374992,singapore,plaques
English Elm,Ulmus procera,1998-04-09,-37.83143075962261,144.97444133977382,australian and american sacrifices in the defence of the pacific,plaques
White Poplar,Populus alba,1998-07-09,-37.83169310139106,144.97304911627035,22 repair and servicing unit raaf,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82796510980705,144.97267690538854,ran bridging train,plaques
Brush Box,Lophostemon confertus,2010-08-30,-37.83021804438931,144.9718500116087,darwin defenders,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.828639346974704,144.97210002350786,2/8th armoured regiment a.i.f,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.83047867928209,144.97234791439254,1st commando regiment,plaques
Golden Poplar,Populus x canadensis,1998-07-09,-37.828517978361376,144.97300125995406,58th battalion,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82805567514444,144.97311116682584,syria r.a.a.f.,plaques
Ironbark,Eucalyptus sideroxylon,2014-06-04,-37.83076173802408,144.97441577976116,no. 21 (city of melbourne) squadron,plaques
,,,-37.82868357226139,144.97319249039356,ex-servicewomen's associations (victoria),plaques
