X,Y,METLINKSTO,STATIONNAM,STATIONTYP,ZONES,STOPMODENA
294809.7694,5850999.6378,20337,Riddells Creek, ,"2,3,Reg",V/Line Train
293524.1556,5973399.726,20338,Rochester, ,Reg,V/Line Train
481335.8797,5776810.0739,20339,Rosedale, ,"14,Reg",V/Line Train
504804.7251,5782743.7476,20341,Sale, ,Reg,V/Line Train
334348.3818,5900763.4211,20342,Seymour, ,"6,7,Reg",V/Line Train
357075.2329,5972302.5615,20343,Shepparton, ,Reg,V/Line Train
268607.0002,5773284.8483,20344,South Geelong, ,"4,Reg",V/Line Train
452382.3645,5995302.936,20345,Springhurst, ,Reg,V/Line Train
507155.8728,5797838.0439,20346,Stratford, ,Reg,V/Line Train
187553.3429,6083702.0757,20347,Swan Hill, ,Reg,V/Line Train
331408.4135,5893201.2904,20348,Tallarook, ,"5,6,Reg",V/Line Train
142120.5585,5760065.6454,20349,Terang, ,Reg,V/Line Train
425999.7477,5770853.3637,20350,Trafalgar, ,"8,9,Reg",V/Line Train
459537.167,5772016.5502,20351,Traralgon, ,"12,13,Reg",V/Line Train
379698.7067,5783866.2463,20352,Tynong, ,"3,4,Reg",V/Line Train
385207.2295,5944425.8989,20353,Violet Town, ,"13,14,Reg",V/Line Train
325207.8696,5863954.1193,20355,Wandong, ,2,V/Line Train
438723.2287,5976447.8789,20356,Wangaratta, ,Reg,V/Line Train
406537.4197,5775314.6916,20357,Warragul, ,"6,7,Reg",V/Line Train
104756.1772,5741763.8928,20358,Warrnambool, ,Reg,V/Line Train
236052.2646,5763239.238,20359,Winchelsea, ,"8,Reg",V/Line Train
488413.1193,6004305.7895,20360,Wodonga, ,Reg,V/Line Train
280884.2676,5862451.5179,20361,Woodend, ,"4,5,Reg",V/Line Train
417966.1902,5771229.2834,20362,Yarragon, ,"8,Reg",V/Line Train
533586.9417,6113525.001,20603,Wagga Wagga, ,Reg,V/Line Train
594424.2679,6166180.639,20604,Cootamundra, ,Reg,V/Line Train
748912.9179,6150356.3791,20605,Goulburn, ,Reg,V/Line Train
889100.5356,6242468.7157,20606,Central, ,Reg,V/Line Train
878669.3902,6244372.4825,20622,Strathfield, ,Reg,V/Line Train
851954.5604,6224008.998,20623,Campbelltown, ,Reg,V/Line Train
809416.7206,6171907.0502,20624,Moss Vale, ,Reg,V/Line Train
675184.9603,6146471.1024,20625,Yass Junction, ,Reg,V/Line Train
625836.989,6175606.0457,20626,Harden, ,Reg,V/Line Train
510794.9183,6096817.0874,20635,The Rock, ,Reg,V/Line Train
553339.4281,6141155.871,20636,Junee, ,Reg,V/Line Train
503201.9453,6069550.0402,20637,Henty, ,Reg,V/Line Train
503450.9943,6053084.0144,20638,Culcairn, ,Reg,V/Line Train
319685.7963,5812408.3761,22180,Southern Cross,Premium,1,Train
321056.331,5812396.5782,22238,Flinders Street, ,"1,Reg",V/Line Train
318785.9827,5813679.0924,22239,North Melbourne, ,"1,Reg",V/Line Train
315297.2505,5814145.3869,22240,Footscray, ,"1,Reg",V/Line Train
309176.2479,5815434.9317,22241,Sunshine, ,"1,2,Reg",V/Line Train
307087.8374,5818777.2934,22242,Ginifer, ,"2,Reg",V/Line Train
306170.9568,5820214.1448,22243,St Albans, ,"2,Reg",V/Line Train
303776.487,5825013.0915,22244,Watergardens, ,"2,Reg",V/Line Train
323111.6147,5811801.4864,22247,Richmond, ,"1,Reg",V/Line Train
327844.5807,5805974.9315,22248,Caulfield, ,"1,Reg",V/Line Train
334811.7057,5800875.9444,22249,Clayton, ,"2,Reg",V/Line Train
342791.2313,5793785.9952,22250,Dandenong, ,"2,Reg",V/Line Train
354833.4693,5788409.801,22251,Berwick, ,"2,Reg",V/Line Train
367249.1969,5784159.4281,22252,Pakenham, ,"2,Reg",V/Line Train
316433.216,5819211.1931,22253,Essendon, ,"1,Reg",V/Line Train
316553.7182,5827313.9122,22254,Broadmeadows, ,"2,Reg",V/Line Train
110445.5851,5741888.3985,22257,Sherwood Park, ,Reg,V/Line Train
317837.2971,5832317.8075,40220,Roxburgh Park,Unmanned,2,Train
318447.4043,5836374.4423,40221,Craigieburn,Premium,2,Train
219036.5,5840499.3286,43469,Wendouree, ,"8,Reg",V/Line Train
317067.7698,5829773.165,44817,Coolaroo,Unmanned,2,Train
224628.853,5853476.0388,44951,Creswick, ,"9,Reg",V/Line Train
214737.7798,5866639.747,44952,Clunes, ,"11,12,Reg",V/Line Train
210301.7165,5894514.6005,44953,Maryborough, ,"14,Reg",V/Line Train
706946.8301,6149061.494,45792,Gunning, ,Reg,V/Line Train
346405.4367,5786375.5839,45793,Lynbrook,Unmanned,2,Train
362971.2579,5785123.2787,45794,Cardinia Road,Unmanned,2,Train
329477.497,5831352.7657,45795,South Morang,Premium,2,Train
301870.1198,5806231.7063,46468,Williams Landing,Premium,2,Train
207501.536,5880862.6764,47482,Talbot, ,Reg,V/Line Train
264220.0381,5766810.4981,47641,Waurn Ponds, ,"4,Reg",V/Line Train
260697.6882,5934357.8342,47642,Epsom, ,"13,Reg",V/Line Train
289650.4361,5805714.8813,47647,Wyndham Vale, ,"2,Reg",V/Line Train
297128.1446,5810301.9071,47648,Tarneit, ,"2,Reg",V/Line Train
300765.1223,5817609.9627,52011,Caroline Springs, ,"2,Reg",V/Line Train
315752.2836,5815733.331,20027,Flemington Racecourse,Unmanned,1,Train
316330.1047,5816159.6913,20028,Showgrounds,Unmanned,1,Train
299316.1104,5838455.8885,15351,Sunbury,Premium,2,Train
298791.5985,5833122.3806,15353,Diggers Rest, ,2,Train
323490.4175,5857015.1202,17204,Wallan, ,2,V/Line Train
344673.4039,5751164.6234,19827,Stony Point,Unmanned,2,Train
343101.3141,5752035.3817,19828,Crib Point,Unmanned,2,Train
341813.3106,5753351.8216,19829,Morradoo,Unmanned,2,Train
340764.9532,5755179.0347,19830,Bittern,Unmanned,2,Train
341390.9261,5758713.8352,19831,Hastings,Unmanned,2,Train
341328.1173,5763801.7809,19832,Tyabb,Unmanned,2,Train
340364.0926,5767610.1084,19833,Somerville,Unmanned,2,Train
338918.9135,5771055.5607,19834,Baxter,Unmanned,2,Train
329183.8275,5808018.2648,19835,Glen Iris,Unmanned,1,Train
336987.0953,5775680.7798,19836,Leawarra,Unmanned,2,Train
329621.5735,5806956.085,19837,Darling,Premium,"1,2",Train
330207.3516,5806083.0092,19838,East Malvern,Premium,"1,2",Train
332071.555,5806402.1264,19839,Holmesglen,Host,"1,2",Train
333954.8884,5806529.4856,19840,Jordanville,Unmanned,2,Train
320044.925,5813077.3656,19841,Flagstaff,Premium,1,Train
320651.4744,5813317.3176,19842,Melbourne Central,Premium,1,Train
321561.6575,5813212.8878,19843,Parliament,Premium,1,Train
355415.9691,5802995.3433,19844,Belgrave,Premium,2,Train
354333.3839,5803085.2829,19845,Tecoma,Unmanned,2,Train
353299.1467,5803557.8886,19846,Upwey,Unmanned,2,Train
331090.2853,5807057.3825,19847,Alamein,Unmanned,1,Train
331223.7583,5807764.9433,19848,Ashburton,Premium,1,Train
331126.7248,5808918.2478,19849,Burwood,Host,1,Train
330674.1227,5809750.0654,19850,Hartwell,Unmanned,1,Train
330192.0307,5810658.406,19851,Willison,Unmanned,1,Train
330125.1697,5811124.3848,19852,Riversdale,Unmanned,1,Train
329149.5371,5811652.3395,19853,Camberwell,Premium,1,Train
321056.2405,5812396.6872,19854,Flinders Street,Premium,1,Train
335795.319,5776661.3471,19855,Frankston,Premium,2,Train
336547.615,5779035.2181,19856,Kananook,Unmanned,2,Train
335888.7803,5780989.4441,19857,Seaford,Unmanned,2,Train
335313.6326,5784210.6506,19858,Carrum,Premium,2,Train
335047.1374,5785531.9789,19859,Bonbeach,Unmanned,2,Train
334702.5407,5786744.5894,19860,Chelsea,Unmanned,2,Train
334013.2986,5788274.23,19861,Edithvale,Unmanned,2,Train
333428.1255,5789464.8022,19862,Aspendale,Unmanned,2,Train
332108.7144,5791728.5447,19863,Mordialloc,Premium,2,Train
331083.2747,5793207.2079,19864,Parkdale,Unmanned,2,Train
330077.4471,5794431.0541,19865,Mentone,Premium,2,Train
329109.9253,5796099.6537,19866,Cheltenham,Premium,2,Train
351183.5464,5804742.8477,19867,Upper Ferntree Gully,Premium,2,Train
350082.2393,5805941.1146,19868,Ferntree Gully,Premium,2,Train
349082.6377,5808280.8603,19869,Boronia,Premium,2,Train
347615.0496,5810332.2276,19870,Bayswater,Premium,2,Train
345511.782,5811781.4703,19871,Heathmont,Unmanned,2,Train
327953.0201,5798098.89,19872,Highett,Unmanned,2,Train
338363.4748,5805962.2395,19873,Glen Waverley,Premium,2,Train
337275.6017,5806304.1727,19874,Syndal,Host,2,Train
335363.1053,5806374.4747,19875,Mount Waverley,Premium,2,Train
354448.1515,5820025.1995,19876,Lilydale,Premium,2,Train
351396.1413,5816725.9833,19877,Mooroolbark,Premium,2,Train
348616.6762,5815488.5468,19878,Croydon,Premium,2,Train
345974.1843,5813605.0084,19879,Ringwood East,Unmanned,2,Train
367249.5513,5784159.2119,19880,Pakenham,Premium,2,Train
360610.4113,5785654.4197,19881,Officer,Unmanned,2,Train
356639.5776,5787285.3647,19882,Beaconsfield,Unmanned,2,Train
354833.5571,5788409.8025,19883,Berwick,Premium,2,Train
351143.7899,5789742.0312,19884,Narre Warren,Premium,2,Train
348121.6721,5790803.7034,19885,Hallam,Unmanned,2,Train
349239.6569,5781744.6948,19886,Cranbourne,Premium,2,Train
347698.6217,5783995.7129,19887,Merinda Park,Unmanned,2,Train
342791.2313,5793785.9952,19888,Dandenong,Premium,2,Train
341173.7089,5795055.1649,19889,Yarraman,Unmanned,2,Train
339862.0321,5796252.5492,19890,Noble Park,Premium,2,Train
338598.7382,5797419.3912,19891,Sandown Park,Host,2,Train
329983.8852,5811744.241,19892,East Camberwell,Unmanned,1,Train
331128.1634,5811923.5793,19893,Canterbury,Host,"1,2",Train
331781.4564,5811957.5119,19894,Chatham,Unmanned,"1,2",Train
332672.283,5811993.456,19895,Surrey Hills,Premium,"1,2",Train
333256.2326,5812528.9544,19896,Mont Albert,Unmanned,"1,2",Train
336355.1946,5812441.3629,19897,Laburnum,Unmanned,2,Train
337173.0365,5812536.1947,19898,Blackburn,Premium,2,Train
339363.8394,5812520.4601,19899,Nunawading,Premium,2,Train
340861.9627,5812836.6525,19900,Mitcham,Premium,2,Train
342695.8074,5812773.9268,19901,Heatherdale,Host,2,Train
344114.143,5813134.6124,19902,Ringwood,Premium,2,Train
328008.8534,5812091.031,19903,Auburn,Host,1,Train
327178.9248,5812177.0898,19904,Glenferrie,Premium,1,Train
325987.8493,5812112.2199,19905,Hawthorn,Host,1,Train
324650.8058,5811447.242,19906,Burnley,Premium,1,Train
323725.2102,5811555.6662,19907,East Richmond,Unmanned,1,Train
323111.7075,5811801.2664,19908,Richmond,Premium,1,Train
325994.7945,5810686.267,19909,Heyington,Unmanned,1,Train
326967.8518,5810123.3236,19910,Kooyong,Unmanned,1,Train
327710.0329,5809090.505,19911,Tooronga,Host,1,Train
328592.479,5808674.5746,19912,Gardiner,Host,1,Train
337759.934,5798178.6416,19913,Springvale,Premium,2,Train
336451.1224,5799375.9152,19914,Westall,Premium,2,Train
334811.7057,5800875.9444,19915,Clayton,Premium,2,Train
333183.9713,5802360.0374,19916,Huntingdale,Host,"1,2",Train
331924.4417,5803516.4689,19917,Oakleigh,Premium,"1,2",Train
330973.3343,5804106.4838,19918,Hughesdale,Host,"1,2",Train
330060.2699,5804607.263,19919,Murrumbeena,Host,1,Train
329277.072,5805030.4988,19920,Carnegie (Temporarily Closed),Host,1,Train
294357.8341,5802769.557,19921,Werribee,Premium,2,Train
297817.4535,5804643.698,19922,Hoppers Crossing,Host,2,Train
304067.8505,5806970.1122,19923,Laverton,Premium,"1,2",Train
303036.951,5806622.4371,19924,Aircraft,Unmanned,2,Train
307667.6025,5806891.8224,19925,Westona,Unmanned,"1,2",Train
309094.2075,5806704.627,19926,Altona,Unmanned,"1,2",Train
310090.9376,5806650.9217,19927,Seaholme,Unmanned,1,Train
323806.801,5816640.2953,19928,Westgarth,Unmanned,1,Train
324596.8463,5816816.4728,19929,Dennis,Unmanned,1,Train
325359.8039,5816833.6914,19930,Fairfield,Host,1,Train
326621.6592,5816946.73,19931,Alphington,Unmanned,1,Train
327249.9987,5817341.1567,19932,Darebin,Unmanned,1,Train
327848.0744,5818026.8622,19933,Ivanhoe,Premium,"1,2",Train
328586.2926,5818631.9545,19934,Eaglemont,Unmanned,"1,2",Train
329165.3992,5819366.779,19935,Heidelberg,Premium,"1,2",Train
329612.9662,5820952.3991,19936,Rosanna,Unmanned,2,Train
327469.0527,5799651.4771,19937,Moorabbin,Premium,2,Train
327335.8144,5800670.3501,19938,Patterson,Unmanned,2,Train
327451.6422,5801529.7231,19939,Bentleigh,Premium,"1,2",Train
327550.2592,5802322.3424,19940,McKinnon,Host,"1,2",Train
327648.522,5803112.0644,19941,Ormond,Host,"1,2",Train
327846.5674,5804614.2643,19942,Glenhuntly,Host,1,Train
327844.7497,5805975.2681,19943,Caulfield,Premium,1,Train
326654.9097,5807194.3645,19944,Malvern,Host,1,Train
325755.2157,5808263.0472,19945,Armadale,Host,1,Train
325264.8518,5808883.4194,19946,Toorak,Host,1,Train
324214.5624,5809546.6437,19947,Hawksburn,Host,1,Train
324679.4026,5797818.2504,19948,Sandringham,Premium,2,Train
324377.5893,5799183.4146,19949,Hampton,Unmanned,2,Train
323268.2977,5800435.2642,19950,Brighton Beach,Premium,"1,2",Train
323868.9057,5801707.9322,19951,Middle Brighton,Host,"1,2",Train
324398.8992,5802857.4657,19952,North Brighton,Host,"1,2",Train
324516.6931,5803769.2239,19953,Gardenvale,Unmanned,1,Train
324201.3603,5805088.1313,19954,Elsternwick,Premium,1,Train
323681.7787,5806058.8207,19955,Ripponlea,Host,1,Train
323515.1631,5806768.1954,19956,Balaclava,Premium,1,Train
323352.8041,5808256.2268,19957,Windsor,Host,1,Train
323146.0007,5808977.276,19958,Prahran,Host,1,Train
323337.8828,5810210.4804,19959,South Yarra,Premium,1,Train
318905.4421,5829250.2084,19960,Upfield,Premium,2,Train
320059.2311,5825434.2269,19961,Gowrie,Premium,2,Train
320240.3521,5823889.9286,19962,Fawkner,Unmanned,"1,2",Train
320322.8712,5823190.6522,19963,Merlynston,Host,"1,2",Train
320487.6898,5821796.8658,19964,Batman,Unmanned,"1,2",Train
320553.4893,5820819.4572,19965,Coburg,Premium,1,Train
320448.9879,5819469.4265,19966,Moreland,Unmanned,1,Train
320365.165,5818717.3399,19967,Anstey,Unmanned,1,Train
320284.387,5817996.2913,19968,Brunswick,Unmanned,1,Train
320224.8244,5817188.3318,19969,Jewell,Unmanned,1,Train
319674.7979,5816487.0989,19970,Royal Park,Unmanned,1,Train
318548.7918,5815691.323,19971,Flemington Bridge,Unmanned,1,Train
318286.3144,5815005.4214,19972,Macaulay,Unmanned,1,Train
318785.8946,5813679.0905,19973,North Melbourne,Premium,1,Train
323490.018,5815741.3838,19974,Clifton Hill,Premium,1,Train
323429.6036,5814574.3052,19975,Victoria Park,Unmanned,1,Train
323380.5822,5813977.316,19976,Collingwood,Unmanned,1,Train
323284.9714,5813323.2611,19977,North Richmond,Unmanned,1,Train
323200.5694,5812816.431,19978,West Richmond,Unmanned,1,Train
322559.8014,5812626.6653,19979,Jolimont-MCG,Host,1,Train
286002.0629,5824331.4844,19980,Melton, ,"2,Reg",V/Line Train
292960.8601,5821625.3598,19981,Rockbank, ,"2,Reg",V/Line Train
303813.2888,5816505.423,19982,Deer Park, ,"2,Reg",V/Line Train
329839.319,5822829.2625,19983,Macleod,Premium,2,Train
331096.1336,5824526.4443,19984,Watsonia,Premium,2,Train
333236.1311,5825347.4557,19985,Greensborough,Premium,2,Train
334430.584,5824111.9078,19986,Montmorency,Unmanned,2,Train
336746.4441,5824351.7505,19987,Eltham,Premium,2,Train
337600.238,5828837.4976,19988,Diamond Creek,Unmanned,2,Train
339618.3898,5829912.2211,19989,Wattle Glen,Unmanned,2,Train
340482.5766,5832655.5667,19990,Hurstbridge,Host,2,Train
315753.0635,5806789.8812,19991,Williamstown,Premium,1,Train
314790.2927,5807186.9943,19992,Williamstown Beach,Unmanned,1,Train
314296.7744,5807914.381,19993,North Williamstown,Unmanned,1,Train
313779.3508,5809525.4044,19994,Newport,Premium,1,Train
313954.1264,5810870.4332,19995,Spotswood,Host,1,Train
314269.0222,5812519.1609,19996,Yarraville,Host,1,Train
314756.6754,5813290.4522,19997,Seddon,Unmanned,1,Train
299391.2109,5838445.3813,19998,Sunbury, ,"2,Reg",V/Line Train
298791.5985,5833122.3806,19999,Diggers Rest, ,"2,Reg",V/Line Train
303776.487,5825013.0915,20000,Watergardens,Premium,2,Train
305573.5448,5821930.3606,20001,Keilor Plains,Unmanned,2,Train
306171.3948,5820214.2661,20002,St Albans,Premium,2,Train
307042.788,5818830.1985,20003,Ginifer,Unmanned,2,Train
308428.4806,5816625.7679,20004,Albion,Host,"1,2",Train
326227.6771,5830926.8986,20005,Epping,Premium,2,Train
325119.1669,5829408.7535,20006,Lalor,Unmanned,2,Train
324896.4451,5827796.3525,20007,Thomastown,Premium,2,Train
324718.9206,5826179.3449,20008,Keon Park,Unmanned,2,Train
324540.7727,5824728.8326,20009,Ruthven,Unmanned,2,Train
324339.761,5823726.5417,20010,Reservoir,Premium,"1,2",Train
323994.8559,5822441.3047,20011,Regent,Host,"1,2",Train
323821.4416,5821297.0362,20012,Preston,Premium,"1,2",Train
323804.7419,5820531.5641,20013,Bell,Premium,1,Train
323688.3858,5819476.4295,20014,Thornbury,Unmanned,1,Train
323576.0645,5818469.3348,20015,Croxton,Unmanned,1,Train
323433.421,5817826.0504,20016,Northcote,Unmanned,1,Train
323249.3012,5816936.4147,20017,Merri,Unmanned,1,Train
323211.6404,5816339.0047,20019,Rushall,Unmanned,1,Train
306459.4285,5815979.2647,20020,Ardeer, ,"2,Reg",V/Line Train
309176.1547,5815435.1516,20021,Sunshine,Premium,"1,2",Train
311851.2801,5814306.5512,20022,Tottenham,Host,1,Train
313828.2024,5814067.6388,20023,West Footscray,Unmanned,1,Train
314371.1594,5814003.4139,20024,Middle Footscray,Unmanned,1,Train
315399.5458,5814183.7656,20025,Footscray,Premium,1,Train
317357.0046,5814399.7642,20026,South Kensington,Unmanned,1,Train
318446.2641,5836361.9836,20029,Craigieburn, ,"2,Reg",V/Line Train
316554.1616,5827313.811,20030,Broadmeadows,Premium,2,Train
316252.4006,5825965.7632,20031,Jacana,Unmanned,2,Train
316395.8705,5824925.256,20032,Glenroy,Premium,"1,2",Train
316807.6656,5823445.0735,20033,Oak Park,Unmanned,"1,2",Train
317427.852,5822037.2139,20034,Pascoe Vale,Unmanned,"1,2",Train
317382.382,5820610.8223,20035,Strathmore,Unmanned,1,Train
316829.4787,5820196.5496,20036,Glenbervie,Unmanned,1,Train
316433.0348,5819211.4111,20037,Essendon,Premium,1,Train
316717.756,5818141.2903,20038,Moonee Ponds,Host,1,Train
316976.3849,5817080.5741,20039,Ascot Vale,Unmanned,1,Train
317636.4832,5815761.1963,20040,Newmarket,Unmanned,1,Train
317788.0417,5815048.3585,20041,Kensington,Host,1,Train
334654.8238,5812580.2912,20042,Box Hill,Premium,2,Train
319784.9205,5812366.1417,20043,Southern Cross,Premium,"1,Reg",V/Line Train
493204.2307,6006702.8461,20287,Albury, ,Reg,V/Line Train
139741.8355,5866076.31,20288,Ararat, ,Reg,V/Line Train
342243.1723,5915462.4232,20289,Avenel, ,"8,9,Reg",V/Line Train
273986.2619,5825755.5865,20290,Bacchus Marsh, ,"2,3,Reg",V/Line Train
555231.1122,5813003.3796,20291,Bairnsdale, ,Reg,V/Line Train
255073.5577,5834466.9328,20292,Ballan, ,"4,5,Reg",V/Line Train
222588.5149,5838499.1486,20293,Ballarat, ,"8,Reg",V/Line Train
179861.9418,5851512.9946,20294,Beaufort, ,"12,13,Reg",V/Line Train
409054.9041,5955170.1445,20295,Benalla, ,Reg,V/Line Train
257487.2845,5927678.6451,20296,Bendigo, ,"13,Reg",V/Line Train
218841.5409,5752805.0742,20297,Birregurra, ,"10,Reg",V/Line Train
326339.1009,5880347.8347,20298,Broadford, ,"4,5,Reg",V/Line Train
387835.3989,5782415.7515,20299,Bunyip, ,"4,5,Reg",V/Line Train
163055.3638,5761778.1165,20300,Camperdown, ,Reg,V/Line Train
252272.1709,5894525.1658,20301,Castlemaine, ,"10,9,Reg",V/Line Train
465043.4706,5998719.294,20302,Chiltern, ,Reg,V/Line Train
300655.5876,5849102.067,20303,Clarkefield, ,"2,Reg",V/Line Train
201679.4329,5750569.0071,20304,Colac, ,"11,12,Reg",V/Line Train
270159.1504,5782861.5891,20305,Corio, ,"3,4,Reg",V/Line Train
251586.9761,5971535.7671,20306,Dingee, ,Reg,V/Line Train
320648.4372,5842996.7344,20307,Donnybrook, ,2,V/Line Train
399739.6569,5778426.8738,20308,Drouin, ,"6,Reg",V/Line Train
254245.1961,5932821.7162,20309,Eaglehawk, ,"13,Reg",V/Line Train
297844.3974,5999185.702,20310,Echuca, ,Reg,V/Line Train
285729.5864,5958483.3252,20311,Elmore, ,"14,Reg",V/Line Train
372153.0597,5931999.1044,20312,Euroa, ,"12,Reg",V/Line Train
383741.5852,5783255.0629,20313,Garfield, ,"4,5,Reg",V/Line Train
268211.2497,5774875.1304,20314,Geelong, ,"4,Reg",V/Line Train
287617.6831,5851519.0472,20315,Gisborne, ,"3,4,Reg",V/Line Train
325228.5098,5862505.2558,20316,Heathcote Junction, ,2,V/Line Train
254543.2671,5924355.523,20317,Kangaroo Flat, ,"12,13,Reg",V/Line Train
221832.4488,6041288.8607,20318,Kerang, ,Reg,V/Line Train
321266.9065,5870694.2506,20319,Kilmore East, ,"3,4,Reg",V/Line Train
273914.031,5873429.2065,20320,Kyneton, ,"6,7,Reg",V/Line Train
273041.7996,5788540.9543,20321,Lara, ,"2,3,4",V/Line Train
280246.0084,5795346.1213,20323,Little River, ,2,V/Line Train
391894.9748,5781152.0116,20324,Longwarry, ,"5,6,Reg",V/Line Train
284215.0236,5855345.5911,20325,Macedon, ,"3,4,Reg",V/Line Train
267026.1737,5880851.5964,20326,Malmsbury, ,"7,8,Reg",V/Line Train
268388.8532,5768847.8854,20327,Marshall, ,"4,Reg",V/Line Train
435422.0729,5774321.1827,20328,Moe, ,"10,9,Reg",V/Line Train
352773.1917,5970529.1456,20329,Mooroopna, ,"14,Reg",V/Line Train
447206.9115,5767747.5292,20330,Morwell, ,"11,Reg",V/Line Train
342662.4011,5946599.7789,20331,Murchison East, ,"11,12,Reg",V/Line Train
335849.111,5927348.4573,20332,Nagambie, ,"10,9,Reg",V/Line Train
374732.3721,5784169.1782,20333,Nar Nar Goon, ,"3,4,Reg",V/Line Train
267905.4497,5777243.9279,20334,North Geelong, ,"3,4,Reg",V/Line Train
268972.1256,5779991.463,20335,North Shore, ,"3,4,Reg",V/Line Train
239953.7565,6006302.9644,20336,Pyramid, ,Reg,V/Line Train
